[I 2025-10-16 06:27:43,737] Trial 48 finished with value: 0.8087537196770694 and parameters: {'hid_dim': 2048, 'beta': 0.3, 'dropout_rate': 0.2, 'win_size': 6, 'lr': 5e-05, 'weight_decay': 0.0001}. Best is trial 21 with value: 0.810770000789364.
[I 2025-10-16 07:36:25,443] Trial 49 finished with value: 0.7854616394991788 and parameters: {'hid_dim': 2048, 'beta': 0.0, 'dropout_rate': 0.4, 'win_size': 8, 'lr': 5e-05, 'weight_decay': 0.001}. Best is trial 21 with value: 0.810770000789364.
[I 2025-10-16 08:28:50,219] Trial 50 finished with value: 0.8005555509133795 and parameters: {'hid_dim': 512, 'beta': 0.3, 'dropout_rate': 0.1, 'win_size': 6, 'lr': 0.0005, 'weight_decay': 0.0005}. Best is trial 21 with value: 0.810770000789364.
[I 2025-10-16 09:21:45,907] Trial 51 finished with value: 0.8076592700804693 and parameters: {'hid_dim': 2048, 'beta': 0.3, 'dropout_rate': 0.2, 'win_size': 6, 'lr': 5e-05, 'weight_decay': 0.001}. Best is trial 21 with value: 0.810770000789364.
[I 2025-10-16 10:14:40,393] Trial 52 finished with value: 0.8109352430165727 and parameters: {'hid_dim': 2048, 'beta': 0.3, 'dropout_rate': 0.2, 'win_size': 6, 'lr': 5e-05, 'weight_decay': 0.001}. Best is trial 52 with value: 0.8109352430165727.
[I 2025-10-16 11:07:40,096] Trial 53 finished with value: 0.8078129331919505 and parameters: {'hid_dim': 2048, 'beta': 0.3, 'dropout_rate': 0.2, 'win_size': 6, 'lr': 5e-05, 'weight_decay': 0.001}. Best is trial 52 with value: 0.8109352430165727.
[I 2025-10-16 12:00:23,975] Trial 54 finished with value: 0.8056896233601764 and parameters: {'hid_dim': 2048, 'beta': 0.3, 'dropout_rate': 0.2, 'win_size': 6, 'lr': 5e-05, 'weight_decay': 0.001}. Best is trial 52 with value: 0.8109352430165727.
[I 2025-10-16 12:23:15,097] Trial 55 finished with value: 0.7931059712644984 and parameters: {'hid_dim': 2048, 'beta': 0.3, 'dropout_rate': 0.2, 'win_size': 2, 'lr': 5e-05, 'weight_decay': 0.001}. Best is trial 52 with value: 0.8109352430165727.
[I 2025-10-16 13:16:10,470] Trial 56 finished with value: 0.6849185099143229 and parameters: {'hid_dim': 2048, 'beta': 0.3, 'dropout_rate': 0.5, 'win_size': 6, 'lr': 0.005, 'weight_decay': 0.001}. Best is trial 52 with value: 0.8109352430165727.
[I 2025-10-16 14:09:01,761] Trial 57 finished with value: 0.7982003967325108 and parameters: {'hid_dim': 2048, 'beta': 0.3, 'dropout_rate': 0.2, 'win_size': 6, 'lr': 0.001, 'weight_decay': 0.001}. Best is trial 52 with value: 0.8109352430165727.
[I 2025-10-16 14:46:36,492] Trial 58 finished with value: 0.7675199670063556 and parameters: {'hid_dim': 1024, 'beta': 0.3, 'dropout_rate': 0.2, 'win_size': 4, 'lr': 5e-05, 'weight_decay': 0.001}. Best is trial 52 with value: 0.8109352430165727.
[I 2025-10-16 15:39:18,464] Trial 59 finished with value: 0.8085588246087104 and parameters: {'hid_dim': 2048, 'beta': 0.2, 'dropout_rate': 0.2, 'win_size': 6, 'lr': 5e-05, 'weight_decay': 0.001}. Best is trial 52 with value: 0.8109352430165727.
[I 2025-10-16 16:31:59,335] Trial 60 finished with value: 0.8016811916262235 and parameters: {'hid_dim': 2048, 'beta': 0.1, 'dropout_rate': 0.2, 'win_size': 6, 'lr': 0.0001, 'weight_decay': 0.005}. Best is trial 52 with value: 0.8109352430165727.
[I 2025-10-16 17:24:40,336] Trial 61 finished with value: 0.8065895573415728 and parameters: {'hid_dim': 2048, 'beta': 0.3, 'dropout_rate': 0.2, 'win_size': 6, 'lr': 5e-05, 'weight_decay': 0.001}. Best is trial 52 with value: 0.8109352430165727.
[I 2025-10-16 18:17:20,233] Trial 62 finished with value: 0.8098180093068247 and parameters: {'hid_dim': 2048, 'beta': 0.3, 'dropout_rate': 0.2, 'win_size': 6, 'lr': 5e-05, 'weight_decay': 0.001}. Best is trial 52 with value: 0.8109352430165727.
[I 2025-10-16 19:10:01,750] Trial 63 finished with value: 0.8079128123282694 and parameters: {'hid_dim': 2048, 'beta': 0.3, 'dropout_rate': 0.2, 'win_size': 6, 'lr': 5e-05, 'weight_decay': 0.001}. Best is trial 52 with value: 0.8109352430165727.
[I 2025-10-16 20:02:54,723] Trial 64 finished with value: 0.8074132114705064 and parameters: {'hid_dim': 2048, 'beta': 0.3, 'dropout_rate': 0.2, 'win_size': 6, 'lr': 5e-05, 'weight_decay': 0.001}. Best is trial 52 with value: 0.8109352430165727.
[I 2025-10-16 20:55:26,959] Trial 65 finished with value: 0.8101776787394982 and parameters: {'hid_dim': 2048, 'beta': 0.3, 'dropout_rate': 0.2, 'win_size': 6, 'lr': 5e-05, 'weight_decay': 0.001}. Best is trial 52 with value: 0.8109352430165727.
[I 2025-10-16 21:48:08,817] Trial 66 finished with value: 0.8080142725051491 and parameters: {'hid_dim': 2048, 'beta': 0.3, 'dropout_rate': 0.3, 'win_size': 6, 'lr': 5e-05, 'weight_decay': 0.001}. Best is trial 52 with value: 0.8109352430165727.
[I 2025-10-16 22:10:52,675] Trial 67 finished with value: 0.628142520970546 and parameters: {'hid_dim': 512, 'beta': 0.3, 'dropout_rate': 0.2, 'win_size': 2, 'lr': 5e-05, 'weight_decay': 0.0001}. Best is trial 52 with value: 0.8109352430165727.
[I 2025-10-16 23:03:16,174] Trial 68 finished with value: 0.7940008967876842 and parameters: {'hid_dim': 2048, 'beta': 0.0, 'dropout_rate': 0.4, 'win_size': 6, 'lr': 5e-05, 'weight_decay': 0.0005}. Best is trial 52 with value: 0.8109352430165727.
[I 2025-10-16 23:55:50,121] Trial 69 finished with value: 0.6827523377719276 and parameters: {'hid_dim': 2048, 'beta': 0.3, 'dropout_rate': 0.5, 'win_size': 6, 'lr': 0.005, 'weight_decay': 0.001}. Best is trial 52 with value: 0.8109352430165727.
[I 2025-10-17 00:33:33,802] Trial 70 finished with value: 0.8094817861929088 and parameters: {'hid_dim': 2048, 'beta': 0.4, 'dropout_rate': 0.2, 'win_size': 4, 'lr': 0.001, 'weight_decay': 0.001}. Best is trial 52 with value: 0.8109352430165727.
[I 2025-10-17 01:11:28,144] Trial 71 finished with value: 0.8040446649902565 and parameters: {'hid_dim': 2048, 'beta': 0.4, 'dropout_rate': 0.2, 'win_size': 4, 'lr': 0.001, 'weight_decay': 0.001}. Best is trial 52 with value: 0.8109352430165727.
[I 2025-10-17 01:49:09,182] Trial 72 finished with value: 0.8015356633325349 and parameters: {'hid_dim': 2048, 'beta': 0.4, 'dropout_rate': 0.2, 'win_size': 4, 'lr': 0.001, 'weight_decay': 0.001}. Best is trial 52 with value: 0.8109352430165727.
[I 2025-10-17 02:26:41,872] Trial 73 finished with value: 0.801555828478668 and parameters: {'hid_dim': 2048, 'beta': 0.4, 'dropout_rate': 0.2, 'win_size': 4, 'lr': 0.001, 'weight_decay': 0.001}. Best is trial 52 with value: 0.8109352430165727.
[I 2025-10-17 03:04:14,145] Trial 74 finished with value: 0.8031038134629463 and parameters: {'hid_dim': 2048, 'beta': 0.4, 'dropout_rate': 0.2, 'win_size': 4, 'lr': 0.001, 'weight_decay': 0.001}. Best is trial 52 with value: 0.8109352430165727.
[I 2025-10-17 03:56:32,362] Trial 75 finished with value: 0.8098735555079651 and parameters: {'hid_dim': 2048, 'beta': 0.3, 'dropout_rate': 0.2, 'win_size': 6, 'lr': 5e-05, 'weight_decay': 0.001}. Best is trial 52 with value: 0.8109352430165727.
[I 2025-10-17 04:48:49,393] Trial 76 finished with value: 0.8101218227387011 and parameters: {'hid_dim': 2048, 'beta': 0.3, 'dropout_rate': 0.2, 'win_size': 6, 'lr': 5e-05, 'weight_decay': 0.001}. Best is trial 52 with value: 0.8109352430165727.
[I 2025-10-17 05:41:07,389] Trial 77 finished with value: 0.80736666430063 and parameters: {'hid_dim': 2048, 'beta': 0.3, 'dropout_rate': 0.1, 'win_size': 6, 'lr': 5e-05, 'weight_decay': 0.001}. Best is trial 52 with value: 0.8109352430165727.
[I 2025-10-17 06:33:24,192] Trial 78 finished with value: 0.807679305828994 and parameters: {'hid_dim': 2048, 'beta': 0.3, 'dropout_rate': 0.2, 'win_size': 6, 'lr': 5e-05, 'weight_decay': 0.001}. Best is trial 52 with value: 0.8109352430165727.
[I 2025-10-17 07:25:23,440] Trial 79 finished with value: 0.768753830736297 and parameters: {'hid_dim': 1024, 'beta': 0.3, 'dropout_rate': 0.2, 'win_size': 6, 'lr': 5e-05, 'weight_decay': 0.001}. Best is trial 52 with value: 0.8109352430165727.
[I 2025-10-17 08:17:09,045] Trial 80 finished with value: 0.7100806640185061 and parameters: {'hid_dim': 512, 'beta': 0.3, 'dropout_rate': 0.2, 'win_size': 6, 'lr': 5e-05, 'weight_decay': 0.005}. Best is trial 52 with value: 0.8109352430165727.
[I 2025-10-17 09:09:30,563] Trial 81 finished with value: 0.8087310525962182 and parameters: {'hid_dim': 2048, 'beta': 0.3, 'dropout_rate': 0.2, 'win_size': 6, 'lr': 5e-05, 'weight_decay': 0.001}. Best is trial 52 with value: 0.8109352430165727.
[I 2025-10-17 10:01:45,511] Trial 82 finished with value: 0.8099876102600589 and parameters: {'hid_dim': 2048, 'beta': 0.3, 'dropout_rate': 0.2, 'win_size': 6, 'lr': 5e-05, 'weight_decay': 0.001}. Best is trial 52 with value: 0.8109352430165727.
[I 2025-10-17 10:54:07,021] Trial 83 finished with value: 0.8074687663267666 and parameters: {'hid_dim': 2048, 'beta': 0.3, 'dropout_rate': 0.2, 'win_size': 6, 'lr': 5e-05, 'weight_decay': 0.001}. Best is trial 52 with value: 0.8109352430165727.
[I 2025-10-17 12:02:03,006] Trial 84 finished with value: 0.7978679840208412 and parameters: {'hid_dim': 2048, 'beta': 0.3, 'dropout_rate': 0.2, 'win_size': 8, 'lr': 5e-05, 'weight_decay': 0.001}. Best is trial 52 with value: 0.8109352430165727.
[I 2025-10-17 12:54:34,653] Trial 85 finished with value: 0.7972456920283205 and parameters: {'hid_dim': 2048, 'beta': 0.3, 'dropout_rate': 0.3, 'win_size': 6, 'lr': 0.0005, 'weight_decay': 0.001}. Best is trial 52 with value: 0.8109352430165727.
[I 2025-10-17 13:47:16,607] Trial 86 finished with value: 0.8068728862457618 and parameters: {'hid_dim': 2048, 'beta': 0.3, 'dropout_rate': 0.2, 'win_size': 6, 'lr': 5e-05, 'weight_decay': 0.0001}. Best is trial 52 with value: 0.8109352430165727.
[I 2025-10-17 14:39:58,989] Trial 87 finished with value: 0.8086902035228315 and parameters: {'hid_dim': 2048, 'beta': 0.2, 'dropout_rate': 0.4, 'win_size': 6, 'lr': 0.0001, 'weight_decay': 0.0005}. Best is trial 52 with value: 0.8109352430165727.
[I 2025-10-17 15:32:46,191] Trial 88 finished with value: 0.8050984812948748 and parameters: {'hid_dim': 2048, 'beta': 0.3, 'dropout_rate': 0.2, 'win_size': 6, 'lr': 5e-05, 'weight_decay': 0.001}. Best is trial 52 with value: 0.8109352430165727.
[I 2025-10-17 16:25:21,610] Trial 89 finished with value: 0.8039030751195936 and parameters: {'hid_dim': 2048, 'beta': 0.1, 'dropout_rate': 0.2, 'win_size': 6, 'lr': 5e-05, 'weight_decay': 0.001}. Best is trial 52 with value: 0.8109352430165727.
[I 2025-10-17 17:21:18,529] Trial 90 finished with value: 0.7976573586026627 and parameters: {'hid_dim': 2048, 'beta': 0.3, 'dropout_rate': 0.5, 'win_size': 6, 'lr': 5e-05, 'weight_decay': 0.001}. Best is trial 52 with value: 0.8109352430165727.
[I 2025-10-17 18:18:30,164] Trial 91 finished with value: 0.8098345704388944 and parameters: {'hid_dim': 2048, 'beta': 0.3, 'dropout_rate': 0.2, 'win_size': 6, 'lr': 5e-05, 'weight_decay': 0.001}. Best is trial 52 with value: 0.8109352430165727.
[I 2025-10-17 19:15:59,611] Trial 92 finished with value: 0.8012323072513956 and parameters: {'hid_dim': 2048, 'beta': 0.3, 'dropout_rate': 0.2, 'win_size': 6, 'lr': 5e-05, 'weight_decay': 0.001}. Best is trial 52 with value: 0.8109352430165727.
[I 2025-10-17 20:13:07,929] Trial 93 finished with value: 0.8119463264590786 and parameters: {'hid_dim': 2048, 'beta': 0.3, 'dropout_rate': 0.2, 'win_size': 6, 'lr': 5e-05, 'weight_decay': 0.001}. Best is trial 93 with value: 0.8119463264590786.
[I 2025-10-17 21:10:06,591] Trial 94 finished with value: 0.808588248778287 and parameters: {'hid_dim': 2048, 'beta': 0.3, 'dropout_rate': 0.2, 'win_size': 6, 'lr': 5e-05, 'weight_decay': 0.001}. Best is trial 93 with value: 0.8119463264590786.
[I 2025-10-17 21:34:32,573] Trial 95 finished with value: 0.7901726466720714 and parameters: {'hid_dim': 2048, 'beta': 0.3, 'dropout_rate': 0.2, 'win_size': 2, 'lr': 5e-05, 'weight_decay': 0.001}. Best is trial 93 with value: 0.8119463264590786.
[I 2025-10-17 22:26:56,735] Trial 96 finished with value: 0.7819222673583012 and parameters: {'hid_dim': 1024, 'beta': 0.0, 'dropout_rate': 0.1, 'win_size': 6, 'lr': 5e-05, 'weight_decay': 0.001}. Best is trial 93 with value: 0.8119463264590786.
[I 2025-10-17 23:19:18,172] Trial 97 finished with value: 0.7879619171563729 and parameters: {'hid_dim': 2048, 'beta': 0.3, 'dropout_rate': 0.2, 'win_size': 6, 'lr': 0.005, 'weight_decay': 0.001}. Best is trial 93 with value: 0.8119463264590786.
[I 2025-10-18 00:27:17,059] Trial 98 finished with value: 0.8014996985239161 and parameters: {'hid_dim': 2048, 'beta': 0.3, 'dropout_rate': 0.2, 'win_size': 8, 'lr': 5e-05, 'weight_decay': 0.001}. Best is trial 93 with value: 0.8119463264590786.
[I 2025-10-18 01:19:06,329] Trial 99 finished with value: 0.7122053544297097 and parameters: {'hid_dim': 512, 'beta': 0.3, 'dropout_rate': 0.2, 'win_size': 6, 'lr': 5e-05, 'weight_decay': 0.005}. Best is trial 93 with value: 0.8119463264590786.
[I 2025-10-18 02:11:28,070] Trial 100 finished with value: 0.7927402773111276 and parameters: {'hid_dim': 2048, 'beta': 0.3, 'dropout_rate': 0.2, 'win_size': 6, 'lr': 0.0005, 'weight_decay': 0.001}. Best is trial 93 with value: 0.8119463264590786.
[I 2025-10-18 03:03:53,789] Trial 101 finished with value: 0.8079065343032492 and parameters: {'hid_dim': 2048, 'beta': 0.3, 'dropout_rate': 0.2, 'win_size': 6, 'lr': 5e-05, 'weight_decay': 0.001}. Best is trial 93 with value: 0.8119463264590786.
