[I 2025-09-26 22:40:41,149] Trial 94 finished with value: 0.7378320758030239 and parameters: {'hid_dim': 128, 'theta': 1.6, 'alpha': 0.005, 'beta': 0.1, 'lr': 0.01, 'win_size': 8}. Best is trial 87 with value: 0.8540421552968528.
[I 2025-09-26 22:42:03,151] Trial 95 finished with value: 0.6966506266071837 and parameters: {'hid_dim': 1024, 'theta': 0.8, 'alpha': 0.005, 'beta': 0.1, 'lr': 0.01, 'win_size': 6}. Best is trial 87 with value: 0.8540421552968528.
[I 2025-09-26 22:42:50,094] Trial 96 finished with value: 0.8096271131689701 and parameters: {'hid_dim': 512, 'theta': 1.6, 'alpha': 0.005, 'beta': 0.1, 'lr': 0.01, 'win_size': 6}. Best is trial 87 with value: 0.8540421552968528.
[I 2025-09-26 22:44:12,273] Trial 97 finished with value: 0.8540531323785335 and parameters: {'hid_dim': 1024, 'theta': 1.6, 'alpha': 0.005, 'beta': 0.05, 'lr': 0.01, 'win_size': 6}. Best is trial 97 with value: 0.8540531323785335.
[I 2025-09-26 22:45:34,329] Trial 98 finished with value: 0.7435744900336512 and parameters: {'hid_dim': 1024, 'theta': 1.0, 'alpha': 0.005, 'beta': 0.05, 'lr': 0.01, 'win_size': 6}. Best is trial 97 with value: 0.8540531323785335.
[I 2025-09-26 22:46:56,312] Trial 99 finished with value: 0.8539140293981007 and parameters: {'hid_dim': 1024, 'theta': 1.6, 'alpha': 0.01, 'beta': 0.05, 'lr': 0.01, 'win_size': 6}. Best is trial 97 with value: 0.8540531323785335.
[I 2025-09-26 22:48:18,258] Trial 100 finished with value: 0.8537297504055371 and parameters: {'hid_dim': 1024, 'theta': 1.6, 'alpha': 0.01, 'beta': 0.05, 'lr': 0.01, 'win_size': 6}. Best is trial 97 with value: 0.8540531323785335.
[I 2025-09-26 22:49:40,255] Trial 101 finished with value: 0.8539918638778022 and parameters: {'hid_dim': 1024, 'theta': 1.6, 'alpha': 0.01, 'beta': 0.05, 'lr': 0.01, 'win_size': 6}. Best is trial 97 with value: 0.8540531323785335.
[I 2025-09-26 22:51:02,274] Trial 102 finished with value: 0.8538829456446475 and parameters: {'hid_dim': 1024, 'theta': 1.6, 'alpha': 0.01, 'beta': 0.05, 'lr': 0.01, 'win_size': 6}. Best is trial 97 with value: 0.8540531323785335.
[I 2025-09-26 22:52:24,312] Trial 103 finished with value: 0.8540417209229787 and parameters: {'hid_dim': 1024, 'theta': 1.6, 'alpha': 0.01, 'beta': 0.05, 'lr': 0.01, 'win_size': 6}. Best is trial 97 with value: 0.8540531323785335.
[I 2025-09-26 22:53:03,914] Trial 104 finished with value: 0.19633114843402172 and parameters: {'hid_dim': 1024, 'theta': 1.6, 'alpha': 0.01, 'beta': 0.05, 'lr': 0.01, 'win_size': 2}. Best is trial 97 with value: 0.8540531323785335.
[I 2025-09-26 22:54:25,945] Trial 105 finished with value: 0.8539839448343595 and parameters: {'hid_dim': 1024, 'theta': 1.6, 'alpha': 0.01, 'beta': 0.05, 'lr': 0.01, 'win_size': 6}. Best is trial 97 with value: 0.8540531323785335.
