[I 2025-09-26 15:51:32,019] A new study created in memory with name: no-name-b4ab6bfd-ac59-4416-b9d4-afa24f20af93
[I 2025-09-26 17:13:10,312] Trial 73 finished with value: 0.8503837203232792 and parameters: {'hid_dim': 256, 'theta': 7.0, 'beta': 0.01, 'lambd': 0.1, 'lr': 0.005, 'win_size': 3, 'epochs': 1000}. Best is trial 56 with value: 0.8503837203232792.
[I 2025-09-26 17:14:06,597] Trial 74 finished with value: 0.8503837203232792 and parameters: {'hid_dim': 256, 'theta': 7.0, 'beta': 0.01, 'lambd': 0.1, 'lr': 0.005, 'win_size': 3, 'epochs': 1000}. Best is trial 56 with value: 0.8503837203232792.
[I 2025-09-26 17:15:02,336] Trial 75 finished with value: 0.8503837203232792 and parameters: {'hid_dim': 256, 'theta': 7.0, 'beta': 0.01, 'lambd': 0.1, 'lr': 0.005, 'win_size': 3, 'epochs': 1000}. Best is trial 56 with value: 0.8503837203232792.
[I 2025-09-26 17:15:58,662] Trial 76 finished with value: 0.8503837203232792 and parameters: {'hid_dim': 256, 'theta': 7.0, 'beta': 0.01, 'lambd': 0.1, 'lr': 0.005, 'win_size': 3, 'epochs': 1000}. Best is trial 56 with value: 0.8503837203232792.
[I 2025-09-26 17:16:54,552] Trial 77 finished with value: 0.8503837203232792 and parameters: {'hid_dim': 256, 'theta': 7.0, 'beta': 0.01, 'lambd': 0.1, 'lr': 0.005, 'win_size': 3, 'epochs': 1000}. Best is trial 56 with value: 0.8503837203232792.
[I 2025-09-26 17:17:50,369] Trial 78 finished with value: 0.8503837203232792 and parameters: {'hid_dim': 256, 'theta': 7.0, 'beta': 0.01, 'lambd': 0.1, 'lr': 0.005, 'win_size': 3, 'epochs': 1000}. Best is trial 56 with value: 0.8503837203232792.
[I 2025-09-26 17:18:46,544] Trial 79 finished with value: 0.8503837203232792 and parameters: {'hid_dim': 256, 'theta': 7.0, 'beta': 0.01, 'lambd': 0.1, 'lr': 0.005, 'win_size': 3, 'epochs': 1000}. Best is trial 56 with value: 0.8503837203232792.
[I 2025-09-26 17:19:42,545] Trial 80 finished with value: 0.13552412496204536 and parameters: {'hid_dim': 256, 'theta': 2.0, 'beta': 0.01, 'lambd': 0.1, 'lr': 0.005, 'win_size': 3, 'epochs': 1000}. Best is trial 56 with value: 0.8503837203232792.
[I 2025-09-26 17:20:38,645] Trial 81 finished with value: 0.8503837203232792 and parameters: {'hid_dim': 256, 'theta': 7.0, 'beta': 0.01, 'lambd': 0.1, 'lr': 0.005, 'win_size': 3, 'epochs': 1000}. Best is trial 56 with value: 0.8503837203232792.
[I 2025-09-26 17:21:34,656] Trial 82 finished with value: 0.8503837203232792 and parameters: {'hid_dim': 256, 'theta': 7.0, 'beta': 0.01, 'lambd': 0.1, 'lr': 0.005, 'win_size': 3, 'epochs': 1000}. Best is trial 56 with value: 0.8503837203232792.
[I 2025-09-26 17:22:30,473] Trial 83 finished with value: 0.8503837203232792 and parameters: {'hid_dim': 256, 'theta': 7.0, 'beta': 0.01, 'lambd': 0.1, 'lr': 0.005, 'win_size': 3, 'epochs': 1000}. Best is trial 56 with value: 0.8503837203232792.
[I 2025-09-26 17:23:26,287] Trial 84 finished with value: 0.8503837203232792 and parameters: {'hid_dim': 256, 'theta': 7.0, 'beta': 0.01, 'lambd': 0.1, 'lr': 0.005, 'win_size': 3, 'epochs': 1000}. Best is trial 56 with value: 0.8503837203232792.
[I 2025-09-26 17:24:22,103] Trial 85 finished with value: 0.8503837203232792 and parameters: {'hid_dim': 256, 'theta': 7.0, 'beta': 0.01, 'lambd': 0.1, 'lr': 0.1, 'win_size': 3, 'epochs': 1000}. Best is trial 56 with value: 0.8503837203232792.
[I 2025-09-26 17:25:18,560] Trial 86 finished with value: 0.8503837203232792 and parameters: {'hid_dim': 256, 'theta': 7.0, 'beta': 0.01, 'lambd': 0.1, 'lr': 0.005, 'win_size': 3, 'epochs': 1000}. Best is trial 56 with value: 0.8503837203232792.
[I 2025-09-26 17:26:14,113] Trial 87 finished with value: 0.8503837203232792 and parameters: {'hid_dim': 256, 'theta': 7.0, 'beta': 0.01, 'lambd': 0.1, 'lr': 0.005, 'win_size': 3, 'epochs': 1000}. Best is trial 56 with value: 0.8503837203232792.
[I 2025-09-26 17:27:10,021] Trial 88 finished with value: 0.8503837203232792 and parameters: {'hid_dim': 256, 'theta': 7.0, 'beta': 0.01, 'lambd': 0.1, 'lr': 0.005, 'win_size': 3, 'epochs': 1000}. Best is trial 56 with value: 0.8503837203232792.
[I 2025-09-26 17:28:05,978] Trial 89 finished with value: 0.6760317164477833 and parameters: {'hid_dim': 32, 'theta': 7.0, 'beta': 0.01, 'lambd': 0.1, 'lr': 0.005, 'win_size': 3, 'epochs': 1000}. Best is trial 56 with value: 0.8503837203232792.
[I 2025-09-26 17:29:39,091] Trial 90 finished with value: 0.12489437980540648 and parameters: {'hid_dim': 256, 'theta': 2.0, 'beta': 0.01, 'lambd': 0.01, 'lr': 0.005, 'win_size': 7, 'epochs': 1000}. Best is trial 56 with value: 0.8503837203232792.
[I 2025-09-26 17:30:34,731] Trial 91 finished with value: 0.8503837203232792 and parameters: {'hid_dim': 256, 'theta': 7.0, 'beta': 0.01, 'lambd': 0.1, 'lr': 0.005, 'win_size': 3, 'epochs': 1000}. Best is trial 56 with value: 0.8503837203232792.
[I 2025-09-26 17:31:30,725] Trial 92 finished with value: 0.8503837203232792 and parameters: {'hid_dim': 256, 'theta': 7.0, 'beta': 0.01, 'lambd': 0.1, 'lr': 0.005, 'win_size': 3, 'epochs': 1000}. Best is trial 56 with value: 0.8503837203232792.
[I 2025-09-26 17:32:27,050] Trial 93 finished with value: 0.8503837203232792 and parameters: {'hid_dim': 256, 'theta': 7.0, 'beta': 0.01, 'lambd': 0.1, 'lr': 0.005, 'win_size': 3, 'epochs': 1000}. Best is trial 56 with value: 0.8503837203232792.
[I 2025-09-26 17:33:22,875] Trial 94 finished with value: 0.8052637806579688 and parameters: {'hid_dim': 64, 'theta': 7.0, 'beta': 0.01, 'lambd': 0.1, 'lr': 0.005, 'win_size': 3, 'epochs': 1000}. Best is trial 56 with value: 0.8503837203232792.
[I 2025-09-26 17:34:18,662] Trial 95 finished with value: 0.8503837203232792 and parameters: {'hid_dim': 256, 'theta': 7.0, 'beta': 0.01, 'lambd': 0.1, 'lr': 0.05, 'win_size': 3, 'epochs': 1000}. Best is trial 56 with value: 0.8503837203232792.
[I 2025-09-26 17:35:14,936] Trial 96 finished with value: 0.8499702458061207 and parameters: {'hid_dim': 128, 'theta': 7.0, 'beta': 0.01, 'lambd': 0.1, 'lr': 0.005, 'win_size': 3, 'epochs': 1000}. Best is trial 56 with value: 0.8503837203232792.
