[I 2025-10-07 07:50:38,766] Trial 51 finished with value: 0.29262693968845727 and parameters: {'hid_dim': 2048, 'beta': 0.0, 'dropout_rate': 0.2, 'win_size': 6, 'lr': 0.0005, 'weight_decay': 0.001}. Best is trial 41 with value: 0.31649337546791106.
[I 2025-10-07 08:08:20,306] Trial 52 finished with value: 0.2931038660987617 and parameters: {'hid_dim': 2048, 'beta': 0.0, 'dropout_rate': 0.2, 'win_size': 6, 'lr': 0.0005, 'weight_decay': 0.001}. Best is trial 41 with value: 0.31649337546791106.
[I 2025-10-07 08:25:52,111] Trial 53 finished with value: 0.2930874842172923 and parameters: {'hid_dim': 2048, 'beta': 0.0, 'dropout_rate': 0.2, 'win_size': 6, 'lr': 0.0005, 'weight_decay': 0.001}. Best is trial 41 with value: 0.31649337546791106.
[I 2025-10-07 08:43:19,911] Trial 54 finished with value: 0.2942943223522281 and parameters: {'hid_dim': 2048, 'beta': 0.0, 'dropout_rate': 0.2, 'win_size': 6, 'lr': 0.0005, 'weight_decay': 0.001}. Best is trial 41 with value: 0.31649337546791106.
[I 2025-10-07 09:00:44,640] Trial 55 finished with value: 0.29318556239473054 and parameters: {'hid_dim': 2048, 'beta': 0.0, 'dropout_rate': 0.2, 'win_size': 6, 'lr': 0.0005, 'weight_decay': 0.001}. Best is trial 41 with value: 0.31649337546791106.
[I 2025-10-07 09:18:09,094] Trial 56 finished with value: 0.29026707717013545 and parameters: {'hid_dim': 2048, 'beta': 0.0, 'dropout_rate': 0.1, 'win_size': 6, 'lr': 0.0005, 'weight_decay': 0.001}. Best is trial 41 with value: 0.31649337546791106.
[I 2025-10-07 09:41:21,023] Trial 57 finished with value: 0.0008259456882797614 and parameters: {'hid_dim': 2048, 'beta': 0.1, 'dropout_rate': 0.2, 'win_size': 8, 'lr': 0.0005, 'weight_decay': 0.001}. Best is trial 41 with value: 0.31649337546791106.
[I 2025-10-07 09:58:53,244] Trial 58 finished with value: 8.552973362913573e-05 and parameters: {'hid_dim': 2048, 'beta': 0.4, 'dropout_rate': 0.2, 'win_size': 6, 'lr': 0.0005, 'weight_decay': 0.001}. Best is trial 41 with value: 0.31649337546791106.
[I 2025-10-07 10:16:23,106] Trial 59 finished with value: 0.2882157997627854 and parameters: {'hid_dim': 2048, 'beta': 0.0, 'dropout_rate': 0.2, 'win_size': 6, 'lr': 0.0005, 'weight_decay': 0.001}. Best is trial 41 with value: 0.31649337546791106.
[I 2025-10-07 10:33:55,039] Trial 60 finished with value: 0.2924319161849022 and parameters: {'hid_dim': 2048, 'beta': 0.0, 'dropout_rate': 0.2, 'win_size': 6, 'lr': 0.0005, 'weight_decay': 0.001}. Best is trial 41 with value: 0.31649337546791106.
[I 2025-10-07 10:51:16,261] Trial 61 finished with value: 0.2904489672175515 and parameters: {'hid_dim': 2048, 'beta': 0.0, 'dropout_rate': 0.2, 'win_size': 6, 'lr': 0.0005, 'weight_decay': 0.001}. Best is trial 41 with value: 0.31649337546791106.
[I 2025-10-07 11:08:43,886] Trial 62 finished with value: 0.2920388994238352 and parameters: {'hid_dim': 2048, 'beta': 0.0, 'dropout_rate': 0.2, 'win_size': 6, 'lr': 0.0005, 'weight_decay': 0.001}. Best is trial 41 with value: 0.31649337546791106.
[I 2025-10-07 11:26:19,332] Trial 63 finished with value: 0.2892310680472159 and parameters: {'hid_dim': 2048, 'beta': 0.0, 'dropout_rate': 0.2, 'win_size': 6, 'lr': 0.0005, 'weight_decay': 0.001}. Best is trial 41 with value: 0.31649337546791106.
[I 2025-10-07 11:44:11,038] Trial 64 finished with value: 0.2909148372095622 and parameters: {'hid_dim': 2048, 'beta': 0.0, 'dropout_rate': 0.2, 'win_size': 6, 'lr': 0.0005, 'weight_decay': 0.001}. Best is trial 41 with value: 0.31649337546791106.
[I 2025-10-07 11:51:18,237] Trial 65 finished with value: 0.30454317981373363 and parameters: {'hid_dim': 2048, 'beta': 0.0, 'dropout_rate': 0.2, 'win_size': 2, 'lr': 0.0005, 'weight_decay': 0.001}. Best is trial 41 with value: 0.31649337546791106.
[I 2025-10-07 11:58:01,653] Trial 66 finished with value: 0.0006557339281400473 and parameters: {'hid_dim': 2048, 'beta': 0.2, 'dropout_rate': 0.4, 'win_size': 2, 'lr': 0.001, 'weight_decay': 0.001}. Best is trial 41 with value: 0.31649337546791106.
[I 2025-10-07 12:04:40,396] Trial 67 finished with value: 0.30091931918737114 and parameters: {'hid_dim': 2048, 'beta': 0.0, 'dropout_rate': 0.2, 'win_size': 2, 'lr': 0.0005, 'weight_decay': 0.001}. Best is trial 41 with value: 0.31649337546791106.
[I 2025-10-07 12:11:51,931] Trial 68 finished with value: 0.00791084107738643 and parameters: {'hid_dim': 2048, 'beta': 0.0, 'dropout_rate': 0.2, 'win_size': 2, 'lr': 0.005, 'weight_decay': 0.001}. Best is trial 41 with value: 0.31649337546791106.
[I 2025-10-07 12:18:31,769] Trial 69 finished with value: 0.0027898417067554523 and parameters: {'hid_dim': 2048, 'beta': 0.3, 'dropout_rate': 0.1, 'win_size': 2, 'lr': 0.0005, 'weight_decay': 0.001}. Best is trial 41 with value: 0.31649337546791106.
[I 2025-10-07 12:33:42,922] Trial 70 finished with value: 0.0 and parameters: {'hid_dim': 4096, 'beta': 0.0, 'dropout_rate': 0.2, 'win_size': 2, 'lr': 0.0005, 'weight_decay': 0.005}. Best is trial 41 with value: 0.31649337546791106.
[I 2025-10-07 12:40:26,772] Trial 71 finished with value: 0.3026155014669068 and parameters: {'hid_dim': 2048, 'beta': 0.0, 'dropout_rate': 0.2, 'win_size': 2, 'lr': 0.0005, 'weight_decay': 0.001}. Best is trial 41 with value: 0.31649337546791106.
[I 2025-10-07 12:47:10,955] Trial 72 finished with value: 0.3015849204119086 and parameters: {'hid_dim': 2048, 'beta': 0.0, 'dropout_rate': 0.2, 'win_size': 2, 'lr': 0.0005, 'weight_decay': 0.001}. Best is trial 41 with value: 0.31649337546791106.
