number,value,params_lr,params_hid_dim,params_lambd,params_beta,params_theta,params_win_size,params_epochs
173,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
174,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
175,0.13543646366227227,0.005,256,0.1,0.01,2.0,3,1000
176,0.11108220946265941,0.005,256,0.01,0.01,7.0,7,1000
177,0.8503837203232792,0.005,512,0.1,0.01,7.0,3,1000
178,0.6760273750924513,0.005,32,0.1,0.01,7.0,3,1000
179,0.8503837203232792,0.1,256,0.1,0.01,7.0,3,1000
180,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,500
181,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
182,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
183,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
184,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
185,0.8503837203232792,0.05,256,0.001,0.01,7.0,3,1000
186,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
187,0.8500589791795059,0.005,256,0.1,0.001,7.0,3,1000
188,0.8054113928275936,0.005,64,0.1,0.01,7.0,3,1000
189,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
190,0.09575559670934826,0.005,128,0.1,0.01,7.0,9,1000
191,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
192,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
193,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
194,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
195,0.8503372429012714,0.001,256,0.1,0.01,7.0,3,1000
196,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
197,0.8503837203232792,0.01,256,0.1,0.01,7.0,3,1000
198,0.8503837203232792,0.1,512,0.1,0.01,7.0,3,1000
199,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
200,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
201,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
202,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
203,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
204,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
205,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
206,0.1354703294381018,0.005,256,0.1,0.01,2.0,3,1000
207,0.11043567993955945,0.005,256,0.01,0.01,7.0,7,1000
208,0.8494572721004197,0.005,256,0.1,0.01,5.0,3,1000
209,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
210,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
211,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
212,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
213,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
214,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
215,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,500
216,0.8503370957472451,0.001,256,0.1,0.01,7.0,3,1000
217,0.6324284804258752,0.005,32,0.001,0.01,7.0,3,1000
218,0.840484770687146,0.1,512,0.1,0.001,7.0,3,1000
219,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
220,0.8503837203232792,0.05,256,0.1,0.01,7.0,3,1000
221,0.8503837203232792,0.05,256,0.1,0.01,7.0,3,1000
222,0.8503837203232792,0.005,256,0.1,0.01,7.0,3,1000
