[I 2025-09-16 01:04:03,377] A new study created in memory with name: no-name-5982d125-ba8d-47cf-b664-18b6f5d80912
[I 2025-09-16 02:43:15,855] Trial 54 finished with value: 0.837843089901222 and parameters: {'hid_dim': 128, 'theta': 7.0, 'beta': 0.01, 'lambd': 0.01, 'lr': 0.05, 'win_size': 5, 'epochs': 1000}. Best is trial 47 with value: 0.8384982902118232.
[I 2025-09-16 02:44:48,620] Trial 55 finished with value: 0.5631164886047895 and parameters: {'hid_dim': 64, 'theta': 2.0, 'beta': 0.01, 'lambd': 0.01, 'lr': 0.05, 'win_size': 5, 'epochs': 1000}. Best is trial 47 with value: 0.8384982902118232.
[I 2025-09-16 02:46:38,753] Trial 56 finished with value: 0.8383740518334936 and parameters: {'hid_dim': 128, 'theta': 7.0, 'beta': 0.01, 'lambd': 0.01, 'lr': 0.05, 'win_size': 5, 'epochs': 1000}. Best is trial 47 with value: 0.8384982902118232.
[I 2025-09-16 02:50:10,703] Trial 57 finished with value: 0.8244627723939092 and parameters: {'hid_dim': 512, 'theta': 7.0, 'beta': 0.01, 'lambd': 0.01, 'lr': 0.005, 'win_size': 5, 'epochs': 1000}. Best is trial 47 with value: 0.8384982902118232.
[I 2025-09-16 02:51:37,090] Trial 58 finished with value: 0.8138073969070936 and parameters: {'hid_dim': 128, 'theta': 7.0, 'beta': 0.001, 'lambd': 0.01, 'lr': 0.05, 'win_size': 5, 'epochs': 750}. Best is trial 47 with value: 0.8384982902118232.
[I 2025-09-16 02:53:31,545] Trial 59 finished with value: 0.5718547082074329 and parameters: {'hid_dim': 32, 'theta': 7.0, 'beta': 0.01, 'lambd': 0.01, 'lr': 0.05, 'win_size': 9, 'epochs': 1000}. Best is trial 47 with value: 0.8384982902118232.
[I 2025-09-16 02:54:39,044] Trial 60 finished with value: 0.5652840019594358 and parameters: {'hid_dim': 64, 'theta': 2.0, 'beta': 0.01, 'lambd': 0.01, 'lr': 0.05, 'win_size': 3, 'epochs': 1000}. Best is trial 47 with value: 0.8384982902118232.
[I 2025-09-16 02:56:31,814] Trial 61 finished with value: 0.8383778375565499 and parameters: {'hid_dim': 128, 'theta': 7.0, 'beta': 0.01, 'lambd': 0.01, 'lr': 0.05, 'win_size': 5, 'epochs': 1000}. Best is trial 47 with value: 0.8384982902118232.
[I 2025-09-16 02:58:22,760] Trial 62 finished with value: 0.8378013965296336 and parameters: {'hid_dim': 128, 'theta': 7.0, 'beta': 0.01, 'lambd': 0.01, 'lr': 0.05, 'win_size': 5, 'epochs': 1000}. Best is trial 47 with value: 0.8384982902118232.
[I 2025-09-16 03:00:13,125] Trial 63 finished with value: 0.8383072837587535 and parameters: {'hid_dim': 128, 'theta': 7.0, 'beta': 0.01, 'lambd': 0.01, 'lr': 0.05, 'win_size': 5, 'epochs': 1000}. Best is trial 47 with value: 0.8384982902118232.
[I 2025-09-16 03:02:03,817] Trial 64 finished with value: 0.8039481741600799 and parameters: {'hid_dim': 128, 'theta': 7.0, 'beta': 0.01, 'lambd': 0.01, 'lr': 0.001, 'win_size': 5, 'epochs': 1000}. Best is trial 47 with value: 0.8384982902118232.
[I 2025-09-16 03:03:54,763] Trial 65 finished with value: 0.8374222084200409 and parameters: {'hid_dim': 128, 'theta': 7.0, 'beta': 0.01, 'lambd': 0.001, 'lr': 0.05, 'win_size': 5, 'epochs': 1000}. Best is trial 47 with value: 0.8384982902118232.
[I 2025-09-16 03:05:44,903] Trial 66 finished with value: 0.8172972393746875 and parameters: {'hid_dim': 128, 'theta': 7.0, 'beta': 0.01, 'lambd': 0.01, 'lr': 0.1, 'win_size': 5, 'epochs': 1000}. Best is trial 47 with value: 0.8384982902118232.
[I 2025-09-16 03:07:11,143] Trial 67 finished with value: 0.8322291855801183 and parameters: {'hid_dim': 128, 'theta': 7.0, 'beta': 0.01, 'lambd': 0.01, 'lr': 0.05, 'win_size': 5, 'epochs': 750}. Best is trial 47 with value: 0.8384982902118232.
