[I 2025-08-26 20:09:42,490] Trial 61 finished with value: 0.8048463807646877 and parameters: {'dropout_rate': 0.1, 'lr': 0.0005, 'weight_decay': 0.001, 'hid_dim': 256, 'beta': 3.0, 'win_size': 2}. Best is trial 61 with value: 0.8048463807646877.
[I 2025-08-27 02:16:13,580] Trial 81 finished with value: 0.8047278395357834 and parameters: {'dropout_rate': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'hid_dim': 256, 'beta': 3.0, 'win_size': 2}. Best is trial 73 with value: 0.8123470401931021.
[I 2025-08-27 02:33:12,250] Trial 82 finished with value: 0.8044770306776566 and parameters: {'dropout_rate': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'hid_dim': 256, 'beta': 3.0, 'win_size': 2}. Best is trial 73 with value: 0.8123470401931021.
[I 2025-08-27 13:22:22,427] Trial 117 finished with value: 0.8039562635460343 and parameters: {'dropout_rate': 0.30000000000000004, 'lr': 0.001, 'weight_decay': 0.0001, 'hid_dim': 256, 'beta': 4.0, 'win_size': 2}. Best is trial 100 with value: 0.8138074508938596.
[I 2025-08-27 09:20:46,215] Trial 103 finished with value: 0.8038875230063812 and parameters: {'dropout_rate': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'hid_dim': 256, 'beta': 4.0, 'win_size': 2}. Best is trial 100 with value: 0.8138074508938596.
[I 2025-08-26 17:53:35,255] Trial 53 finished with value: 0.803868999424131 and parameters: {'dropout_rate': 0.1, 'lr': 0.0005, 'weight_decay': 0.001, 'hid_dim': 256, 'beta': 3.0, 'win_size': 2}. Best is trial 53 with value: 0.803868999424131.
[I 2025-08-26 23:18:12,576] Trial 72 finished with value: 0.8038242555320531 and parameters: {'dropout_rate': 0.1, 'lr': 0.001, 'weight_decay': 0.001, 'hid_dim': 256, 'beta': 3.0, 'win_size': 2}. Best is trial 66 with value: 0.8092194594786047.
[I 2025-08-26 21:00:46,739] Trial 64 finished with value: 0.8031833563399916 and parameters: {'dropout_rate': 0.1, 'lr': 0.0005, 'weight_decay': 0.001, 'hid_dim': 256, 'beta': 3.0, 'win_size': 2}. Best is trial 61 with value: 0.8048463807646877.
[I 2025-08-26 17:19:22,874] Trial 51 finished with value: 0.8030798421545607 and parameters: {'dropout_rate': 0.1, 'lr': 0.0005, 'weight_decay': 0.001, 'hid_dim': 256, 'beta': 3.0, 'win_size': 2}. Best is trial 51 with value: 0.8030798421545607.
[I 2025-08-26 18:10:29,433] Trial 54 finished with value: 0.8030120710554239 and parameters: {'dropout_rate': 0.1, 'lr': 0.0005, 'weight_decay': 0.001, 'hid_dim': 256, 'beta': 3.0, 'win_size': 2}. Best is trial 53 with value: 0.803868999424131.
[I 2025-08-26 19:18:48,511] Trial 58 finished with value: 0.8027641381337182 and parameters: {'dropout_rate': 0.1, 'lr': 0.0005, 'weight_decay': 0.001, 'hid_dim': 256, 'beta': 3.0, 'win_size': 2}. Best is trial 53 with value: 0.803868999424131.
[I 2025-08-26 15:20:13,937] Trial 44 finished with value: 0.8022084080830897 and parameters: {'dropout_rate': 0.1, 'lr': 0.0005, 'weight_decay': 0.001, 'hid_dim': 256, 'beta': 3.0, 'win_size': 2}. Best is trial 44 with value: 0.8022084080830897.
[I 2025-08-26 17:36:32,914] Trial 52 finished with value: 0.801483886191364 and parameters: {'dropout_rate': 0.1, 'lr': 0.0005, 'weight_decay': 0.001, 'hid_dim': 256, 'beta': 3.0, 'win_size': 2}. Best is trial 51 with value: 0.8030798421545607.
[I 2025-08-26 04:51:10,612] Trial 22 finished with value: 0.8014727626141146 and parameters: {'dropout_rate': 0.1, 'lr': 0.0005, 'weight_decay': 5e-05, 'hid_dim': 256, 'beta': 3.0, 'win_size': 4}. Best is trial 22 with value: 0.8014727626141146.
[I 2025-08-26 15:37:10,107] Trial 45 finished with value: 0.8012553641055925 and parameters: {'dropout_rate': 0.1, 'lr': 0.0005, 'weight_decay': 0.001, 'hid_dim': 256, 'beta': 3.0, 'win_size': 2}. Best is trial 44 with value: 0.8022084080830897.
[I 2025-08-26 22:43:57,240] Trial 70 finished with value: 0.8010427197770733 and parameters: {'dropout_rate': 0.2, 'lr': 0.001, 'weight_decay': 0.001, 'hid_dim': 256, 'beta': 3.0, 'win_size': 2}. Best is trial 66 with value: 0.8092194594786047.
[I 2025-08-26 14:07:00,303] Trial 41 finished with value: 0.8009262902774988 and parameters: {'dropout_rate': 0.1, 'lr': 0.0005, 'weight_decay': 0.0005, 'hid_dim': 256, 'beta': 3.0, 'win_size': 4}. Best is trial 22 with value: 0.8014727626141146.
[I 2025-08-26 09:26:13,391] Trial 31 finished with value: 0.7998434122100151 and parameters: {'dropout_rate': 0.1, 'lr': 0.0005, 'weight_decay': 0.0005, 'hid_dim': 256, 'beta': 3.0, 'win_size': 4}. Best is trial 22 with value: 0.8014727626141146.
[I 2025-08-26 20:43:35,855] Trial 63 finished with value: 0.7997375997607915 and parameters: {'dropout_rate': 0.1, 'lr': 0.0005, 'weight_decay': 0.001, 'hid_dim': 256, 'beta': 3.0, 'win_size': 2}. Best is trial 61 with value: 0.8048463807646877.
[I 2025-08-26 20:26:37,456] Trial 62 finished with value: 0.7992111027420759 and parameters: {'dropout_rate': 0.1, 'lr': 0.0005, 'weight_decay': 0.001, 'hid_dim': 256, 'beta': 3.0, 'win_size': 2}. Best is trial 61 with value: 0.8048463807646877.
[I 2025-08-26 14:35:05,191] Trial 42 finished with value: 0.797744143444747 and parameters: {'dropout_rate': 0.1, 'lr': 0.0005, 'weight_decay': 0.0005, 'hid_dim': 256, 'beta': 3.0, 'win_size': 4}. Best is trial 22 with value: 0.8014727626141146.
[I 2025-08-26 05:19:26,251] Trial 23 finished with value: 0.7974203232753431 and parameters: {'dropout_rate': 0.1, 'lr': 0.0005, 'weight_decay': 5e-05, 'hid_dim': 256, 'beta': 3.0, 'win_size': 4}. Best is trial 22 with value: 0.8014727626141146.
[I 2025-08-26 07:23:13,362] Trial 27 finished with value: 0.7969444592870681 and parameters: {'dropout_rate': 0.1, 'lr': 0.0005, 'weight_decay': 0.0005, 'hid_dim': 256, 'beta': 3.0, 'win_size': 4}. Best is trial 22 with value: 0.8014727626141146.
[I 2025-08-26 09:54:16,086] Trial 32 finished with value: 0.7967576371287804 and parameters: {'dropout_rate': 0.1, 'lr': 0.0005, 'weight_decay': 0.0005, 'hid_dim': 256, 'beta': 3.0, 'win_size': 4}. Best is trial 22 with value: 0.8014727626141146.
[I 2025-08-27 16:37:05,470] Trial 127 finished with value: 0.7967165184167962 and parameters: {'dropout_rate': 0.4, 'lr': 0.001, 'weight_decay': 0.0001, 'hid_dim': 256, 'beta': 4.0, 'win_size': 2}. Best is trial 100 with value: 0.8138074508938596.
[I 2025-08-26 02:47:26,634] Trial 18 finished with value: 0.7964431490413763 and parameters: {'dropout_rate': 0.1, 'lr': 0.0005, 'weight_decay': 5e-05, 'hid_dim': 256, 'beta': 3.0, 'win_size': 4}. Best is trial 18 with value: 0.7964431490413763.
[I 2025-08-26 08:19:34,107] Trial 29 finished with value: 0.7955970444900485 and parameters: {'dropout_rate': 0.1, 'lr': 0.0005, 'weight_decay': 0.0005, 'hid_dim': 256, 'beta': 3.0, 'win_size': 4}. Best is trial 22 with value: 0.8014727626141146.
[I 2025-08-26 07:51:25,838] Trial 28 finished with value: 0.7945232962157135 and parameters: {'dropout_rate': 0.2, 'lr': 0.0005, 'weight_decay': 0.0005, 'hid_dim': 256, 'beta': 3.0, 'win_size': 4}. Best is trial 22 with value: 0.8014727626141146.
[I 2025-08-26 04:23:24,355] Trial 21 finished with value: 0.7944612372729871 and parameters: {'dropout_rate': 0.1, 'lr': 0.0005, 'weight_decay': 5e-05, 'hid_dim': 256, 'beta': 3.0, 'win_size': 4}. Best is trial 18 with value: 0.7964431490413763.
[I 2025-08-26 10:51:09,337] Trial 34 finished with value: 0.7917983762585646 and parameters: {'dropout_rate': 0.2, 'lr': 0.0005, 'weight_decay': 0.0005, 'hid_dim': 256, 'beta': 3.0, 'win_size': 4}. Best is trial 22 with value: 0.8014727626141146.
[I 2025-08-26 18:44:30,484] Trial 56 finished with value: 0.7917185851439775 and parameters: {'dropout_rate': 0.2, 'lr': 0.0005, 'weight_decay': 0.001, 'hid_dim': 256, 'beta': 3.0, 'win_size': 2}. Best is trial 53 with value: 0.803868999424131.
[I 2025-08-27 19:29:00,502] Trial 137 finished with value: 0.7901460973705882 and parameters: {'dropout_rate': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'hid_dim': 128, 'beta': 4.0, 'win_size': 2}. Best is trial 100 with value: 0.8138074508938596.
[I 2025-08-27 10:47:03,896] Trial 108 finished with value: 0.7900813095230476 and parameters: {'dropout_rate': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'hid_dim': 128, 'beta': 4.0, 'win_size': 2}. Best is trial 100 with value: 0.8138074508938596.
[I 2025-08-27 14:36:34,423] Trial 120 finished with value: 0.7892421815241982 and parameters: {'dropout_rate': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'hid_dim': 256, 'beta': 4.0, 'win_size': 6}. Best is trial 100 with value: 0.8138074508938596.
[I 2025-08-27 22:44:23,954] Trial 147 finished with value: 0.7891917589712137 and parameters: {'dropout_rate': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'hid_dim': 256, 'beta': 4.0, 'win_size': 6}. Best is trial 100 with value: 0.8138074508938596.
[I 2025-08-26 15:54:19,532] Trial 46 finished with value: 0.7891027015532991 and parameters: {'dropout_rate': 0.1, 'lr': 0.0005, 'weight_decay': 0.001, 'hid_dim': 256, 'beta': 2.0, 'win_size': 2}. Best is trial 44 with value: 0.8022084080830897.
[I 2025-08-26 19:01:45,979] Trial 57 finished with value: 0.7880593022872201 and parameters: {'dropout_rate': 0.1, 'lr': 0.0005, 'weight_decay': 0.001, 'hid_dim': 256, 'beta': 2.0, 'win_size': 2}. Best is trial 53 with value: 0.803868999424131.
[I 2025-08-27 01:06:58,731] Trial 77 finished with value: 0.7860544446436464 and parameters: {'dropout_rate': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'hid_dim': 256, 'beta': 4.0, 'win_size': 6}. Best is trial 73 with value: 0.8123470401931021.
[I 2025-08-27 16:02:45,685] Trial 125 finished with value: 0.78445399246477 and parameters: {'dropout_rate': 0.1, 'lr': 0.005, 'weight_decay': 0.0001, 'hid_dim': 256, 'beta': 4.0, 'win_size': 2}. Best is trial 100 with value: 0.8138074508938596.
[I 2025-08-26 18:27:30,759] Trial 55 finished with value: 0.781537069125367 and parameters: {'dropout_rate': 0.1, 'lr': 0.005, 'weight_decay': 0.001, 'hid_dim': 256, 'beta': 4.0, 'win_size': 2}. Best is trial 53 with value: 0.803868999424131.
[I 2025-08-27 01:41:27,317] Trial 79 finished with value: 0.7805724370063305 and parameters: {'dropout_rate': 0.5, 'lr': 0.001, 'weight_decay': 0.0001, 'hid_dim': 256, 'beta': 3.0, 'win_size': 2}. Best is trial 73 with value: 0.8123470401931021.
[I 2025-08-25 23:30:19,695] Trial 11 finished with value: 0.7805546024554015 and parameters: {'dropout_rate': 0.1, 'lr': 0.0005, 'weight_decay': 5e-05, 'hid_dim': 256, 'beta': 1.5, 'win_size': 4}. Best is trial 11 with value: 0.7805546024554015.
[I 2025-08-27 03:42:22,471] Trial 86 finished with value: 0.7803656499729108 and parameters: {'dropout_rate': 0.1, 'lr': 0.001, 'weight_decay': 0.0001, 'hid_dim': 128, 'beta': 2.0, 'win_size': 2}. Best is trial 73 with value: 0.8123470401931021.
