[I 2025-09-12 22:37:13,687] Trial 47 finished with value: 0.8186310025371749 and parameters: {'hid_dim': 1024, 'theta': 1.0, 'alpha': 0.05, 'beta': 0.001, 'lr': 0.01, 'win_size': 4}. Best is trial 14 with value: 0.8454133506819436.
[I 2025-09-12 22:37:57,696] Trial 48 finished with value: 0.82717106441493 and parameters: {'hid_dim': 1024, 'theta': 1.2, 'alpha': 0.01, 'beta': 0.1, 'lr': 0.1, 'win_size': 2}. Best is trial 14 with value: 0.8454133506819436.
[I 2025-09-12 22:39:27,065] Trial 49 finished with value: 0.7756025663541511 and parameters: {'hid_dim': 1024, 'theta': 0.8, 'alpha': 0.05, 'beta': 0.05, 'lr': 0.2, 'win_size': 6}. Best is trial 14 with value: 0.8454133506819436.
[I 2025-09-12 22:40:20,256] Trial 50 finished with value: 0.8540863552605894 and parameters: {'hid_dim': 256, 'theta': 1.0, 'alpha': 0.05, 'beta': 0.01, 'lr': 0.01, 'win_size': 10}. Best is trial 50 with value: 0.8540863552605894.
[I 2025-09-12 22:41:13,775] Trial 51 finished with value: 0.8543690978023926 and parameters: {'hid_dim': 256, 'theta': 1.0, 'alpha': 0.05, 'beta': 0.01, 'lr': 0.01, 'win_size': 10}. Best is trial 51 with value: 0.8543690978023926.
[I 2025-09-12 22:42:07,230] Trial 52 finished with value: 0.8532534896789044 and parameters: {'hid_dim': 256, 'theta': 1.0, 'alpha': 0.05, 'beta': 0.01, 'lr': 0.01, 'win_size': 10}. Best is trial 51 with value: 0.8543690978023926.
[I 2025-09-12 22:43:00,080] Trial 53 finished with value: 0.853886685586118 and parameters: {'hid_dim': 256, 'theta': 1.0, 'alpha': 0.05, 'beta': 0.01, 'lr': 0.01, 'win_size': 10}. Best is trial 51 with value: 0.8543690978023926.
[I 2025-09-12 22:43:52,961] Trial 54 finished with value: 0.8537000935139522 and parameters: {'hid_dim': 256, 'theta': 1.0, 'alpha': 0.05, 'beta': 0.01, 'lr': 0.01, 'win_size': 10}. Best is trial 51 with value: 0.8543690978023926.
[I 2025-09-12 22:44:45,824] Trial 55 finished with value: 0.8539138240618984 and parameters: {'hid_dim': 256, 'theta': 1.0, 'alpha': 0.05, 'beta': 0.01, 'lr': 0.01, 'win_size': 10}. Best is trial 51 with value: 0.8543690978023926.
[I 2025-09-12 22:45:38,677] Trial 56 finished with value: 0.8540678331018475 and parameters: {'hid_dim': 256, 'theta': 1.0, 'alpha': 0.05, 'beta': 0.01, 'lr': 0.01, 'win_size': 10}. Best is trial 51 with value: 0.8543690978023926.
[I 2025-09-12 22:46:31,699] Trial 57 finished with value: 0.853789975822781 and parameters: {'hid_dim': 256, 'theta': 1.0, 'alpha': 0.01, 'beta': 0.01, 'lr': 0.01, 'win_size': 10}. Best is trial 51 with value: 0.8543690978023926.
[I 2025-09-12 22:47:24,811] Trial 58 finished with value: 0.7677738211243675 and parameters: {'hid_dim': 256, 'theta': 1.0, 'alpha': 0.01, 'beta': 0.01, 'lr': 0.3, 'win_size': 10}. Best is trial 51 with value: 0.8543690978023926.
[I 2025-09-12 22:48:17,880] Trial 59 finished with value: 0.8539055695714928 and parameters: {'hid_dim': 256, 'theta': 1.0, 'alpha': 0.01, 'beta': 0.01, 'lr': 0.01, 'win_size': 10}. Best is trial 51 with value: 0.8543690978023926.
[I 2025-09-12 22:49:10,661] Trial 60 finished with value: 0.8086461783296804 and parameters: {'hid_dim': 256, 'theta': 1.0, 'alpha': 0.01, 'beta': 0.01, 'lr': 0.05, 'win_size': 10}. Best is trial 51 with value: 0.8543690978023926.
[I 2025-09-12 22:50:04,480] Trial 61 finished with value: 0.8540528023431266 and parameters: {'hid_dim': 256, 'theta': 1.0, 'alpha': 0.01, 'beta': 0.01, 'lr': 0.01, 'win_size': 10}. Best is trial 51 with value: 0.8543690978023926.
[I 2025-09-12 22:50:58,846] Trial 62 finished with value: 0.8538362092776546 and parameters: {'hid_dim': 256, 'theta': 1.0, 'alpha': 0.01, 'beta': 0.01, 'lr': 0.01, 'win_size': 10}. Best is trial 51 with value: 0.8543690978023926.
[I 2025-09-12 22:51:51,708] Trial 63 finished with value: 0.8539547048067967 and parameters: {'hid_dim': 256, 'theta': 1.0, 'alpha': 0.01, 'beta': 0.01, 'lr': 0.01, 'win_size': 10}. Best is trial 51 with value: 0.8543690978023926.
